timestamp_utc,player_id,hand_index,stage,player_cards,dealer_upcard,action_taken,pbs_action,verdict,message,style_component
2025-10-10T04:37:31Z,0,0,initial,10S JD,QH,stand,stand,Complies,Pair of Ts vs dealer QH. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:37:31Z,1,0,final,8D JH 2D,QH,stand,stand,Complies,Hard 20 vs dealer QH. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:37:31Z,1,0,initial,8D JH,QH,hit,stand,Deviates,Hard 18 vs dealer QH. Player hit (initial). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:37:31Z,2,0,initial,7H 3C,QH,stand,hit,Deviates,Hard 10 vs dealer QH. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:38:58Z,0,0,final,8H 3H 8C,7C,stand,stand,Complies,Hard 19 vs dealer 7C. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:38:58Z,0,0,initial,8H 3H,7C,hit,double,Deviates,Hard 11 vs dealer 7C. Player hit (initial). PBS recommends double. This deviation increases expected losses.,Conservative
2025-10-10T04:38:58Z,1,0,final,4H 2H 4C JC,7C,stand,stand,Complies,Hard 20 vs dealer 7C. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:38:58Z,1,0,initial,4H 2H,7C,hit,hit,Complies,Hard 6 vs dealer 7C. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:38:58Z,2,0,final,7D 9C 2H,7C,stand,stand,Complies,Hard 18 vs dealer 7C. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:38:58Z,2,0,initial,7D 9C,7C,hit,hit,Complies,Hard 16 vs dealer 7C. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:40:10Z,0,0,final,5H 9C 3S,8H,stand,stand,Complies,Hard 17 vs dealer 8H. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:40:10Z,0,0,initial,5H 9C,8H,hit,hit,Complies,Hard 14 vs dealer 8H. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:40:10Z,0,0,initial,4C 3H,AH,stand,hit,Deviates,Hard 7 vs dealer AH. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:40:10Z,1,0,final,QH 2D KC,8H,hit,stand,Deviates,Hard 22 vs dealer 8H. Player hit (final). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:40:10Z,1,0,initial,QH 2D,8H,hit,hit,Complies,Hard 12 vs dealer 8H. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:40:10Z,1,0,initial,5D AD,AH,stand,hit,Deviates,Soft 16 vs dealer AH. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:40:10Z,2,0,initial,KC 6C,8H,stand,hit,Deviates,Hard 16 vs dealer 8H. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:40:10Z,2,0,initial,KS 6C,AH,stand,surrender,Deviates,Hard 16 vs dealer AH. Player stand (initial). PBS recommends surrender. This deviation increases expected losses.,Neutral
2025-10-10T04:41:17Z,0,0,initial,7H QD,10D,surrender,stand,Deviates,Hard 17 vs dealer 10D. Player surrender (initial). PBS recommends stand. This deviation increases expected losses.,Conservative
2025-10-10T04:41:17Z,1,0,final,8S 6D AC 2S 7S,10D,hit,stand,Deviates,Hard 24 vs dealer 10D. Player hit (final). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:41:17Z,1,0,initial,8S 6D,10D,hit,hit,Complies,Hard 14 vs dealer 10D. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:41:17Z,2,0,initial,JH 4S,10D,stand,hit,Deviates,Hard 14 vs dealer 10D. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:41:45Z,0,0,final,5H 3C 5C,5S,stand,stand,Complies,Hard 13 vs dealer 5S. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:41:45Z,0,0,initial,5H 3C,5S,hit,hit,Complies,Hard 8 vs dealer 5S. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:41:45Z,1,0,initial,3H 6D,5S,double,double,Complies,Hard 9 vs dealer 5S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:41:45Z,2,0,initial,7S 10H,5S,stand,stand,Complies,Hard 17 vs dealer 5S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:42:35Z,0,0,initial,10S 7S,10H,surrender,stand,Deviates,Hard 17 vs dealer 10H. Player surrender (initial). PBS recommends stand. This deviation increases expected losses.,Conservative
2025-10-10T04:42:35Z,1,0,initial,KS KD,10H,stand,stand,Complies,Pair of Ts vs dealer 10H. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:42:35Z,2,0,initial,AS JD,10H,stand,stand,Complies,Soft 21 vs dealer 10H. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:43:14Z,0,0,final,2C 3S 7S,3D,stand,hit,Deviates,Hard 12 vs dealer 3D. Player stand (final). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:43:14Z,0,0,initial,2C 3S,3D,hit,hit,Complies,Hard 5 vs dealer 3D. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:43:14Z,1,0,initial,10D 2S,3D,double,hit,Deviates,Hard 12 vs dealer 3D. Player double (initial). PBS recommends hit. This deviation increases expected losses.,Aggressive
2025-10-10T04:43:14Z,2,0,initial,5D 7C,3D,stand,hit,Deviates,Hard 12 vs dealer 3D. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:45:54Z,0,0,initial,4D 7D,2S,double,double,Complies,Hard 11 vs dealer 2S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:45:54Z,1,0,final,AD 2C 7C,2S,stand,stand,Complies,Soft 20 vs dealer 2S. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:45:54Z,1,0,initial,AD 2C,2S,hit,hit,Complies,Soft 13 vs dealer 2S. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:45:54Z,2,0,initial,5S 10C,2S,stand,stand,Complies,Hard 15 vs dealer 2S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:46:19Z,0,0,final,3D QD KC,9S,hit,stand,Deviates,Hard 23 vs dealer 9S. Player hit (final). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:46:19Z,0,0,initial,3D QD,9S,hit,hit,Complies,Hard 13 vs dealer 9S. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:46:19Z,1,0,initial,3C 8D,9S,double,double,Complies,Hard 11 vs dealer 9S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:46:19Z,2,0,final,6S 8S 8S,9S,hit,stand,Deviates,Hard 22 vs dealer 9S. Player hit (final). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:46:19Z,2,0,initial,6S 8S,9S,hit,hit,Complies,Hard 14 vs dealer 9S. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:47:08Z,0,0,initial,AD 4H,3C,stand,hit,Deviates,Soft 15 vs dealer 3C. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:47:08Z,1,0,initial,QC JH,3C,double,stand,Deviates,Pair of Ts vs dealer 3C. Player double (initial). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:47:08Z,2,0,initial,KH 6H,3C,stand,stand,Complies,Hard 16 vs dealer 3C. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:47:32Z,0,0,initial,10H 7C,JS,stand,stand,Complies,Hard 17 vs dealer JS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:47:32Z,1,0,initial,JD QD,JS,stand,stand,Complies,Pair of Ts vs dealer JS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:47:32Z,2,0,initial,JC QH,JS,stand,stand,Complies,Pair of Ts vs dealer JS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:49:05Z,0,0,initial,JS 8C,KC,stand,stand,Complies,Hard 18 vs dealer KC. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:49:05Z,1,0,final,2D 6H 9S 5H,KC,hit,stand,Deviates,Hard 22 vs dealer KC. Player hit (final). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:49:05Z,1,0,initial,2D 6H,KC,hit,hit,Complies,Hard 8 vs dealer KC. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:49:05Z,2,0,initial,5C KD,KC,surrender,surrender,Complies,Hard 15 vs dealer KC. Player surrender (initial). PBS agrees.,Neutral
2025-10-10T04:49:19Z,0,0,initial,QS 8S,6S,stand,stand,Complies,Hard 18 vs dealer 6S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:49:19Z,1,0,initial,AC QH,6S,stand,stand,Complies,Soft 21 vs dealer 6S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:49:19Z,2,0,initial,2D AC,6S,double,double,Complies,Soft 13 vs dealer 6S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:50:39Z,0,0,final,7D 7D 6C,3C,stand,stand,Complies,Hard 20 vs dealer 3C. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:50:39Z,0,0,initial,7D 7D,3C,hit,split,Deviates,Pair of 7s vs dealer 3C. Player hit (initial). PBS recommends split. This deviation increases expected losses.,Conservative
2025-10-10T04:50:39Z,1,0,final,9H 6S AH 4C,3C,stand,stand,Complies,Hard 20 vs dealer 3C. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:50:39Z,1,0,initial,9H 6S,3C,hit,stand,Deviates,Hard 15 vs dealer 3C. Player hit (initial). PBS recommends stand. This deviation increases expected losses.,Aggressive
2025-10-10T04:50:39Z,2,-1,split-decision,AD AD,3C,split,split,Complies,Split decision on pair of AA vs dealer 3C: PBS recommends split.,Neutral
2025-10-10T04:50:39Z,2,0,initial,AD 4H,3C,stand,hit,Deviates,Soft 15 vs dealer 3C. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:50:39Z,2,1,initial,AD 10C,3C,stand,stand,Complies,Soft 21 vs dealer 3C. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:51:08Z,0,0,initial,KH 8S,KS,stand,stand,Complies,Hard 18 vs dealer KS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:51:08Z,0,0,initial,2H 6H,QS,stand,hit,Deviates,Hard 8 vs dealer QS. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:51:08Z,1,0,initial,6D 5C,KS,double,double,Complies,Hard 11 vs dealer KS. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:51:08Z,1,0,initial,KH AH,QS,stand,stand,Complies,Soft 21 vs dealer QS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:51:08Z,2,0,initial,2S 8D,KS,stand,hit,Deviates,Hard 10 vs dealer KS. Player stand (initial). PBS recommends hit. This deviation increases expected losses.,Conservative
2025-10-10T04:51:08Z,2,0,initial,QC 5D,QS,stand,surrender,Deviates,Hard 15 vs dealer QS. Player stand (initial). PBS recommends surrender. This deviation increases expected losses.,Neutral
2025-10-10T04:52:17Z,0,0,initial,8D JH,2S,stand,stand,Complies,Hard 18 vs dealer 2S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:52:17Z,1,-1,split-decision,7H 7H,2S,split,split,Complies,Split decision on pair of 77 vs dealer 2S: PBS recommends split.,Neutral
2025-10-10T04:52:17Z,1,0,initial,7H 2C,2S,double,hit,Deviates,Hard 9 vs dealer 2S. Player double (initial). PBS recommends hit. This deviation increases expected losses.,Aggressive
2025-10-10T04:52:17Z,1,1,initial,7H QD,2S,stand,stand,Complies,Hard 17 vs dealer 2S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:52:17Z,2,0,initial,8S 3S,2S,double,double,Complies,Hard 11 vs dealer 2S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:53:06Z,0,0,initial,KS AS,AS,stand,stand,Complies,Soft 21 vs dealer AS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:53:06Z,1,0,initial,JS AH,AS,stand,stand,Complies,Soft 21 vs dealer AS. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:53:06Z,2,0,final,3D 9C 5S,AS,stand,stand,Complies,Hard 17 vs dealer AS. Player stand (final). PBS agrees.,Neutral
2025-10-10T04:53:06Z,2,0,initial,3D 9C,AS,hit,hit,Complies,Hard 12 vs dealer AS. Player hit (initial). PBS agrees.,Neutral
2025-10-10T04:53:53Z,0,0,initial,AC 10D,4S,stand,stand,Complies,Soft 21 vs dealer 4S. Player stand (initial). PBS agrees.,Neutral
2025-10-10T04:53:53Z,1,0,initial,7D 4H,4S,double,double,Complies,Hard 11 vs dealer 4S. Player double (initial). PBS agrees.,Neutral
2025-10-10T04:53:53Z,2,0,initial,AC 2H,4S,double,hit,Deviates,Soft 13 vs dealer 4S. Player double (initial). PBS recommends hit. This deviation increases expected losses.,Aggressive
